"metric","density","tval","pval","qval"
"richclub",0.3,2.032,0.044,1
"transitivity",0.15,2.014,0.046,1
"transitivity",0.2,2.492,0.014,1
"transitivity",0.25,2.326,0.021,1
"transitivity",0.3,2.153,0.033,1
